timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1732497979955,0,INSERT,2,53.41,18.05,35.72,18.06,53.41,53.41,53.41
1732497979955,1,INSERT,2,275.45,16.77,146.05,16.78,275.45,275.45,275.45
1732497979955,2,INSERT,1,306.18,305.92,306.05,306.18,306.18,306.18,306.18
1732497979955,3,INSERT,3,252.16,23.63,101.10,27.58,252.16,252.16,252.16
1732497980963,0,INSERT,2,33.53,28.75,31.14,28.77,33.53,33.53,33.53
1732497980963,2,INSERT,3,60.90,40.67,54.10,60.73,60.90,60.90,60.90
1732497980963,3,INSERT,3,18.57,1.58,10.36,10.94,18.57,18.57,18.57
1732497981472,1,INSERT,2,579.07,1.25,290.03,1.25,579.07,579.07,579.07
1732497981472,2,INSERT,1,614.40,613.89,614.14,614.40,614.40,614.40,614.40
1732497981472,3,INSERT,2,456.70,454.66,455.68,454.91,456.70,456.70,456.70
1732497981978,0,INSERT,6,18.06,2.38,11.06,12.22,17.98,18.06,18.06
1732497982481,2,INSERT,1,33.44,33.41,33.42,33.44,33.44,33.44,33.44
1732497982481,3,INSERT,3,30.09,28.24,29.46,30.06,30.09,30.09,30.09
1732497982985,0,INSERT,6,20.75,2.85,11.25,5.45,20.64,20.75,20.75
1732497983488,1,INSERT,2,30.62,29.84,30.23,29.86,30.62,30.62,30.62
1732497983488,2,INSERT,3,7.54,0.34,2.79,0.48,7.54,7.54,7.54
1732497983488,3,INSERT,1,6.78,6.77,6.77,6.78,6.78,6.78,6.78
1732497984495,1,INSERT,2,41.38,41.25,41.31,41.28,41.38,41.38,41.38
1732497984495,3,INSERT,1,32.90,32.86,32.88,32.90,32.90,32.90,32.90
1732497985500,2,INSERT,1,25.60,25.58,25.59,25.60,25.60,25.60,25.60
1732497985500,3,INSERT,2,32.02,31.97,31.99,31.98,32.02,32.02,32.02
1732497986509,1,INSERT,1,72.38,72.32,72.35,72.38,72.38,72.38,72.38
1732497986509,2,INSERT,2,33.09,2.18,17.63,2.19,33.09,33.09,33.09
1732497987514,1,INSERT,1,34.34,34.30,34.32,34.34,34.34,34.34,34.34
1732497987514,2,INSERT,3,27.77,3.17,19.43,27.36,27.77,27.77,27.77
1732497987514,3,INSERT,5,20.98,3.53,9.14,6.73,20.98,20.98,20.98
1732497989523,1,INSERT,1,30.09,30.08,30.09,30.09,30.09,30.09,30.09
1732497989523,2,INSERT,1,4.29,4.29,4.29,4.29,4.29,4.29,4.29
1732497989523,3,INSERT,1,38.81,38.78,38.80,38.81,38.81,38.81,38.81
1732497990530,1,INSERT,4,20.82,6.53,11.90,7.11,20.82,20.82,20.82
1732497990530,2,INSERT,1,4.74,4.73,4.73,4.74,4.74,4.74,4.74
1732497990530,3,INSERT,2,7.89,2.19,5.04,2.20,7.89,7.89,7.89
1732497991540,1,INSERT,4,116.86,115.58,116.46,116.67,116.86,116.86,116.86
1732497992544,2,INSERT,1,86.33,86.27,86.30,86.33,86.33,86.33,86.33
1732497992544,3,INSERT,7,54.21,3.58,22.04,11.62,53.50,54.21,54.21
1732497993553,1,INSERT,4,11.40,0.62,8.05,9.02,11.40,11.40,11.40
1732497993553,2,INSERT,1,24.50,24.48,24.49,24.50,24.50,24.50,24.50
1732497993553,3,INSERT,3,30.91,11.43,23.03,26.75,30.91,30.91,30.91
1732497994560,1,INSERT,3,25.71,11.40,16.20,11.49,25.71,25.71,25.71
1732497994560,3,INSERT,1,71.74,71.68,71.71,71.74,71.74,71.74,71.74
1732497995565,1,INSERT,3,16.00,4.35,9.46,8.04,16.00,16.00,16.00
1732497995565,2,INSERT,3,26.35,18.34,21.27,19.12,26.35,26.35,26.35
1732497995565,3,INSERT,2,70.27,69.38,69.82,69.44,70.27,70.27,70.27
1732497996572,2,INSERT,2,15.25,14.86,15.05,14.86,15.25,15.25,15.25
1732497996572,3,INSERT,4,34.24,2.09,26.01,33.63,34.24,34.24,34.24
1732497997577,1,INSERT,2,17.65,3.91,10.78,3.92,17.65,17.65,17.65
1732497997577,3,INSERT,1,34.56,34.53,34.54,34.56,34.56,34.56,34.56
1732497998582,2,INSERT,1,30.00,29.98,29.99,30.00,30.00,30.00,30.00
1732497999586,1,INSERT,1,28.38,28.37,28.38,28.38,28.38,28.38,28.38
1732497999586,2,INSERT,2,14.27,10.11,12.19,10.12,14.27,14.27,14.27
1732497999586,3,INSERT,1,21.49,21.47,21.48,21.49,21.49,21.49,21.49
1732498000593,1,INSERT,2,20.59,10.45,15.52,10.46,20.59,20.59,20.59
1732498000593,2,INSERT,2,31.33,22.05,26.69,22.06,31.33,31.33,31.33
1732498001598,3,INSERT,1,33.12,33.09,33.10,33.12,33.12,33.12,33.12
1732498002101,1,INSERT,1,32.35,32.34,32.34,32.35,32.35,32.35,32.35
1732498002604,2,INSERT,1,36.32,36.29,36.30,36.32,36.32,36.32,36.32
1732498002604,3,INSERT,2,35.81,35.71,35.76,35.74,35.81,35.81,35.81
1732498003108,1,INSERT,2,36.13,20.77,28.44,20.78,36.13,36.13,36.13
1732498003108,3,INSERT,3,15.45,5.22,9.40,7.54,15.45,15.45,15.45
1732498003612,2,INSERT,2,24.80,15.41,20.10,15.41,24.80,24.80,24.80
1732498004115,1,INSERT,2,30.40,30.10,30.25,30.11,30.40,30.40,30.40
1732498004115,3,INSERT,3,66.56,64.86,65.94,66.43,66.56,66.56,66.56
1732498004623,2,INSERT,1,50.21,50.18,50.19,50.21,50.21,50.21,50.21
1732498005126,1,INSERT,1,32.16,32.14,32.15,32.16,32.16,32.16,32.16
1732498005126,3,INSERT,2,28.75,28.67,28.71,28.69,28.75,28.75,28.75
1732498005630,1,INSERT,6,30.69,8.53,20.22,11.73,30.67,30.69,30.69
1732498006133,3,INSERT,2,32.43,32.42,32.42,32.43,32.43,32.43,32.43
1732498006635,1,INSERT,6,8.86,2.50,5.52,3.98,8.57,8.86,8.86
1732498006635,2,INSERT,3,12.58,0.53,6.77,7.19,12.58,12.58,12.58
1732498007139,3,INSERT,1,17.36,17.34,17.35,17.36,17.36,17.36,17.36
1732498007642,1,INSERT,3,14.10,6.96,9.70,8.05,14.10,14.10,14.10
1732498007642,2,INSERT,2,28.03,27.36,27.70,27.38,28.03,28.03,28.03
1732498008647,1,INSERT,1,16.05,16.05,16.05,16.05,16.05,16.05,16.05
1732498008647,2,INSERT,2,36.70,30.05,33.37,30.06,36.70,36.70,36.70
1732498009151,3,INSERT,3,32.30,23.55,29.35,32.21,32.30,32.30,32.30
1732498009654,1,INSERT,4,22.09,7.62,18.19,21.17,22.09,22.09,22.09
1732498009654,2,INSERT,1,34.05,34.02,34.03,34.05,34.05,34.05,34.05
1732498010159,3,INSERT,2,18.21,18.18,18.19,18.19,18.21,18.21,18.21
1732498010661,1,INSERT,1,37.63,37.60,37.62,37.63,37.63,37.63,37.63
