timestamp,client_id,write_rate_limit_kbs,read_rate_limit_kbs,write_buffer_size_kb,max_write_buffer_number
1730149533615255,0,10240,10240,10240,5
1730149533615255,1,10240,10240,10240,2
1730149533677100,0,10240,49368,10240,5
1730149533677100,1,10240,10240,10240,2
1730149533738748,0,10240,49368,10240,5
1730149533738748,1,10240,10240,10240,2
1730149533800783,0,10240,49368,10240,5
1730149533800783,1,10240,10240,10240,2
1730149533863839,0,10240,49368,10240,5
1730149533863839,1,10240,10240,10240,2
1730149533928426,0,10240,49392,10240,5
1730149533928426,1,10240,10240,10240,2
1730149533992067,0,10240,49392,10240,5
1730149533992067,1,10240,10240,10240,2
1730149534054005,0,10240,98448,10240,5
1730149534054005,1,10240,10240,10240,2
1730149534118337,0,10240,98448,10240,5
1730149534118337,1,10240,10240,10240,2
1730149534183137,0,10240,98568,10240,5
1730149534183137,1,10240,10240,10240,2
1730149534253979,0,10240,98568,10240,5
1730149534253979,1,10240,10240,10240,2
1730149534317454,0,10240,98568,10240,5
1730149534317454,1,10240,10240,10240,2
1730149534379547,0,10240,98568,10240,5
1730149534379547,1,10240,10240,10240,2
1730149534442229,0,10240,147672,10240,5
1730149534442229,1,10240,10240,10240,2
1730149534504806,0,10240,147672,10240,5
1730149534504806,1,10240,10240,10240,2
1730149534567125,0,10240,147672,10240,5
1730149534567125,1,10240,10240,10240,2
1730149534633394,0,10240,147672,10240,5
1730149534633394,1,10240,10240,10240,2
1730149534695770,0,10240,147672,10240,5
1730149534695770,1,10240,10240,10240,2
1730149534758735,0,10240,147672,10240,5
1730149534758735,1,10240,10240,10240,2
1730149534821583,0,10240,147744,10240,5
1730149534821583,1,10240,10240,10240,2
1730149534886154,0,10240,147744,10240,5
1730149534886154,1,10240,10240,10240,2
1730149534949038,0,10240,147744,10240,5
1730149534949038,1,10240,10240,10240,2
1730149535015409,0,10240,147744,10240,5
1730149535015409,1,10240,10240,10240,2
1730149535077645,0,10240,147768,10240,5
1730149535077645,1,10240,10240,10240,2
1730149535139792,0,10240,147768,10240,5
1730149535139792,1,10240,10240,10240,2
1730149535204721,0,10240,147768,10240,5
1730149535204721,1,10240,10240,10240,2
1730149535266763,0,10240,147768,10240,5
1730149535266763,1,10240,10240,10240,2
1730149535330670,0,10240,147768,10240,5
1730149535330670,1,10240,10240,10240,2
1730149535393817,0,10240,147768,10240,5
1730149535393817,1,10240,10240,10240,2
1730149535459022,0,10240,147768,10240,4
1730149535459022,1,10240,10240,10240,3
1730149535525410,0,10240,147768,10240,4
1730149535525410,1,10240,10240,10240,3
1730149535587816,0,10240,147768,10240,4
1730149535587816,1,10240,10240,10240,3
1730149535649608,0,10240,147768,10240,4
1730149535649608,1,10240,10240,10240,3
1730149535714291,0,10240,147768,10240,4
1730149535714291,1,10240,10240,10240,3
1730149535778022,0,10240,147768,10240,4
1730149535778022,1,10240,10240,10240,3
1730149535841087,0,10240,147768,10240,4
1730149535841087,1,10240,10240,10240,3
1730149535903531,0,10240,147768,10240,4
1730149535903531,1,10240,10240,10240,3
1730149535967468,0,10240,147768,10240,4
1730149535967468,1,10240,10240,10240,3
1730149536032154,0,10240,147768,10240,4
1730149536032154,1,10240,10240,10240,3
1730149536096592,0,10240,147768,10240,4
1730149536096592,1,10240,10240,10240,3
1730149536160580,0,10240,147768,10240,4
1730149536160580,1,10240,10240,10240,3
1730149536224395,0,10240,147792,10240,4
1730149536224395,1,10240,10240,10240,3
1730149536287887,0,10240,147792,10240,4
1730149536287887,1,10240,10240,10240,3
1730149536350074,0,10240,147792,10240,4
1730149536350074,1,10240,10240,10240,3
1730149536413413,0,10240,147792,10240,4
1730149536413413,1,10240,10240,10240,3
1730149536477092,0,10240,147792,10240,4
1730149536477092,1,10240,10240,10240,3
1730149536541021,0,10240,147792,10240,4
1730149536541021,1,10240,10240,10240,3
1730149536606041,0,10240,147792,10240,4
1730149536606041,1,10240,10240,10240,3
1730149536671184,0,10240,147792,10240,4
1730149536671184,1,10240,10240,10240,3
1730149536735100,0,10240,147792,10240,4
