Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2024-11-05 23:50:46.518 , 99.22 , 23.33 , 1.10 , 240.78 , 139.81 , 32.15 , 2.92 , 235.50
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 42.00 , 1.73 , 0.55 , 42.10
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 217.00 , 1.40 , 0.58 , 6.62
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.06 , 1.00 , 32.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 43.00 , 0.18 , 0.58 , 4.28
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.03 , 0.50 , 16.00
2024-11-05 23:50:46.518 , 4.00 , 0.11 , 1.75 , 28.75 , 704.00 , 171.88 , 1.82 , 250.01
2024-11-05 23:50:46.518 , 415.00 , 89.56 , 0.84 , 220.99 , 1174.00 , 264.68 , 2.75 , 230.86
2024-11-05 23:50:46.518 , 459.00 , 99.42 , 0.70 , 221.81 , 1257.00 , 282.53 , 3.88 , 230.16
2024-11-05 23:50:46.518 , 496.00 , 108.88 , 0.70 , 224.78 , 1237.00 , 283.01 , 3.97 , 234.28
2024-11-05 23:50:46.518 , 620.00 , 147.57 , 0.74 , 243.73 , 1192.00 , 283.56 , 4.56 , 243.59
2024-11-05 23:50:46.518 , 522.00 , 119.28 , 0.70 , 233.98 , 1235.00 , 275.01 , 3.60 , 228.02
2024-11-05 23:50:46.518 , 1011.00 , 235.38 , 0.71 , 238.40 , 1177.00 , 237.52 , 1.77 , 206.65
2024-11-05 23:50:46.518 , 1104.00 , 252.07 , 0.67 , 233.81 , 1217.00 , 255.94 , 1.77 , 215.35
2024-11-05 23:50:46.518 , 904.00 , 205.12 , 0.67 , 232.35 , 1306.00 , 270.17 , 2.20 , 211.83
2024-11-05 23:50:46.518 , 1154.00 , 257.21 , 0.71 , 228.24 , 1116.00 , 258.79 , 1.90 , 237.46
2024-11-05 23:50:46.518 , 702.00 , 158.62 , 0.66 , 231.38 , 663.00 , 160.14 , 1.98 , 247.34
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 2.00 , 0.06 , 2.50 , 28.75 , 261.00 , 63.01 , 1.83 , 247.20
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 2.00 , 0.06 , 0.50 , 28.75 , 304.00 , 63.16 , 1.68 , 212.76
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 1.00 , 0.00 , 1.00 , 4.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 609.00 , 138.18 , 0.76 , 232.34 , 798.00 , 196.37 , 1.97 , 251.98
2024-11-05 23:50:46.518 , 1122.00 , 252.27 , 0.73 , 230.23 , 1189.00 , 251.09 , 1.77 , 216.24
2024-11-05 23:50:46.518 , 1128.00 , 246.67 , 0.71 , 223.93 , 1197.00 , 249.27 , 1.79 , 213.24
2024-11-05 23:50:46.518 , 1134.00 , 256.82 , 0.68 , 231.90 , 1260.00 , 257.70 , 1.78 , 209.43
2024-11-05 23:50:46.518 , 400.00 , 91.29 , 0.81 , 233.70 , 686.00 , 158.00 , 2.00 , 235.84
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 71.00 , 0.38 , 1.24 , 5.41
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 23:50:46.518 , 2.00 , 0.06 , 3.50 , 28.75 , 261.00 , 63.01 , 1.92 , 247.22
2024-11-05 23:50:46.518 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
