timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1730699931349,0,INSERT,495,9986.05,53.15,364.55,58.66,69.89,8138.75,9986.05
1730699931850,0,INSERT,1251,184.83,53.57,59.31,58.34,62.78,79.42,121.60
1730699932350,0,INSERT,1235,292.86,53.76,62.00,59.84,67.65,88.58,186.88
1730699932851,0,INSERT,1194,236.29,55.14,67.17,64.48,77.18,98.56,156.41
1730699933352,0,INSERT,1182,507.65,52.51,64.37,61.57,74.88,93.95,114.50
1730699933853,0,INSERT,1249,120.64,53.06,60.21,59.07,64.25,82.30,113.41
1730699934355,0,INSERT,1254,100.16,53.28,61.97,59.94,72.32,86.08,99.84
1730699934856,0,INSERT,1165,776.19,53.28,65.11,61.60,75.90,92.93,248.83
1730699935356,0,INSERT,1251,803.33,52.51,60.54,59.17,64.06,79.04,88.51
1730699935857,0,INSERT,1252,144.77,52.58,59.96,58.94,64.25,80.96,118.46
1730699936358,0,INSERT,1136,212.22,51.74,61.65,58.88,72.83,98.94,155.78
1730699936859,0,INSERT,1251,124.67,52.03,58.77,57.60,63.23,76.16,109.44
1730699937360,0,INSERT,1251,99.39,52.70,58.58,57.34,62.59,77.44,94.72
1730699937861,0,INSERT,1190,772.10,52.06,60.39,57.41,69.31,83.97,210.30
1730699938361,0,INSERT,1228,93.69,51.62,58.40,56.70,67.26,78.85,88.70
1730699938862,0,INSERT,1246,144.25,52.00,59.85,58.46,64.89,86.78,114.30
1730699939363,0,INSERT,1204,994.82,49.66,59.40,56.96,66.81,79.30,94.02
1730699939864,0,INSERT,1198,1479.68,49.79,57.31,54.21,59.62,76.48,881.15
1730699940365,0,INSERT,1251,87.68,50.02,56.31,55.01,61.57,74.17,82.69
1730699940866,0,INSERT,1246,315.39,51.23,60.34,58.91,65.98,87.68,130.62
1730699941366,0,INSERT,1160,832.51,52.96,66.85,64.03,77.76,98.05,105.15
