Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2024-11-04 05:58:50.842 , 83.36 , 17.92 , 1.18 , 220.14 , 85.01 , 18.59 , 2.23 , 223.91
2024-11-04 05:58:50.842 , 1756.00 , 229.38 , 1.34 , 133.76 , 496.00 , 119.96 , 2.06 , 247.65
2024-11-04 05:58:50.842 , 1011.00 , 226.81 , 1.19 , 229.72 , 1067.00 , 263.70 , 2.16 , 253.07
2024-11-04 05:58:50.842 , 969.00 , 210.89 , 1.13 , 222.86 , 1059.00 , 258.52 , 2.63 , 249.97
2024-11-04 05:58:50.842 , 1053.00 , 231.15 , 1.21 , 224.79 , 1077.00 , 264.32 , 2.67 , 251.31
2024-11-04 05:58:50.842 , 1050.00 , 229.16 , 1.18 , 223.48 , 970.00 , 240.38 , 2.17 , 253.76
2024-11-04 05:58:50.842 , 964.00 , 211.56 , 1.09 , 224.72 , 1161.00 , 284.86 , 2.69 , 251.24
2024-11-04 05:58:50.842 , 1131.00 , 248.97 , 1.09 , 225.41 , 1087.00 , 268.67 , 2.48 , 253.10
2024-11-04 05:58:50.842 , 1028.00 , 225.95 , 1.07 , 225.07 , 1025.00 , 252.09 , 2.49 , 251.84
2024-11-04 05:58:50.842 , 962.00 , 210.93 , 1.08 , 224.52 , 1141.00 , 278.72 , 2.77 , 250.14
2024-11-04 05:58:50.842 , 1218.00 , 268.92 , 1.15 , 226.08 , 980.00 , 242.88 , 2.08 , 253.78
2024-11-04 05:58:50.842 , 791.00 , 187.31 , 1.12 , 242.48 , 1208.00 , 254.44 , 2.23 , 215.68
2024-11-04 05:58:50.842 , 875.00 , 209.81 , 1.17 , 245.53 , 1101.00 , 218.80 , 1.72 , 203.50
2024-11-04 05:58:50.842 , 908.00 , 216.85 , 1.17 , 244.55 , 1080.00 , 213.71 , 1.72 , 202.62
2024-11-04 05:58:50.842 , 962.00 , 228.73 , 1.12 , 243.48 , 1090.00 , 214.30 , 1.70 , 201.32
2024-11-04 05:58:50.842 , 795.00 , 190.25 , 1.18 , 245.05 , 1237.00 , 256.21 , 2.11 , 212.09
2024-11-04 05:58:50.842 , 895.00 , 216.59 , 1.20 , 247.81 , 1090.00 , 216.41 , 1.71 , 203.30
2024-11-04 05:58:50.842 , 972.00 , 232.91 , 1.14 , 245.37 , 1112.00 , 219.85 , 1.68 , 202.45
