timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1730706757544,0,INSERT,270,3584.00,55.20,152.87,68.29,107.71,2242.56,3584.00
1730706758045,0,INSERT,1002,205.95,56.61,70.64,67.90,79.23,125.95,195.07
1730706758546,0,INSERT,1001,295.17,56.29,68.72,67.07,74.75,96.32,238.46
1730706759047,0,INSERT,1001,361.21,58.24,71.77,68.93,84.42,99.58,165.50
1730706759548,0,INSERT,931,480.77,61.02,77.38,73.41,89.79,141.06,237.82
1730706760049,0,INSERT,955,1139.71,53.70,69.41,64.67,80.51,100.48,505.60
1730706760550,0,INSERT,1002,215.94,53.44,63.14,61.44,68.93,87.36,215.04
1730706761050,0,INSERT,1001,123.07,54.72,62.81,61.47,68.22,87.36,120.19
1730706761551,0,INSERT,966,218.88,53.70,66.00,63.23,78.08,96.45,143.10
1730706762053,0,INSERT,967,271.87,53.31,62.83,60.90,69.69,87.23,132.48
1730706762554,0,INSERT,1001,220.16,53.79,62.76,61.85,68.03,84.48,113.73
1730706763055,0,INSERT,1000,834.56,54.85,62.42,60.93,66.43,78.72,90.43
1730706763556,0,INSERT,969,216.45,54.78,63.79,61.82,70.78,92.16,103.74
1730706764057,0,INSERT,972,232.83,53.02,62.01,60.03,69.25,87.30,103.61
1730706764557,0,INSERT,994,128.38,53.76,63.50,61.09,73.28,99.84,123.78
1730706765058,0,INSERT,1001,92.61,53.76,61.18,60.35,65.34,80.25,92.16
1730706765559,0,INSERT,958,212.48,54.59,65.36,62.49,76.48,95.36,131.01
1730706766060,0,INSERT,960,215.68,53.70,65.79,62.88,75.65,100.03,151.55
1730706766562,0,INSERT,1003,122.30,54.40,62.08,60.77,66.94,87.36,114.75
1730706767063,0,INSERT,1001,184.83,55.52,71.25,68.73,86.02,105.86,174.21
1730706767564,0,INSERT,965,435.71,60.03,74.16,70.72,87.23,109.31,146.30
1730706768065,0,INSERT,957,1884.16,56.35,79.81,73.92,88.51,147.84,1068.03
1730706768566,0,INSERT,1002,207.10,58.82,72.68,69.12,81.92,151.04,200.19
1730706769067,0,INSERT,1002,199.42,58.24,74.12,70.33,84.73,147.58,171.13
1730706769568,0,INSERT,965,327.42,59.55,74.16,69.95,87.36,124.03,195.71
1730706770069,0,INSERT,958,968.70,56.26,74.29,70.40,83.84,112.32,897.53
1730706770569,0,INSERT,1002,241.15,56.51,66.69,65.25,73.02,90.17,150.53
1730706771070,0,INSERT,1001,109.06,52.90,63.69,63.23,68.54,76.67,91.14
1730706771571,0,INSERT,969,896.51,55.97,71.54,67.01,84.29,122.75,366.33
1730706772072,0,INSERT,956,941.05,58.08,74.81,71.55,87.17,107.14,217.73
1730706772574,0,INSERT,1003,217.22,60.29,73.09,69.95,82.81,135.55,205.69
1730706773075,0,INSERT,1001,171.01,58.37,74.54,71.23,85.12,139.26,163.33
1730706773576,0,INSERT,977,927.23,58.43,76.31,71.55,87.36,132.99,371.45
1730706774077,0,INSERT,939,986.62,58.11,77.56,73.15,92.48,122.75,186.50
1730706774578,0,INSERT,1001,134.53,58.05,69.44,67.33,78.21,118.91,134.01
1730706775079,0,INSERT,1001,132.99,56.32,64.56,63.84,69.31,81.02,123.97
1730706775580,0,INSERT,983,347.90,56.16,67.13,64.16,77.25,106.50,196.99
1730706776080,0,INSERT,932,1076.22,53.73,71.95,67.65,86.21,113.92,229.89
1730706776581,0,INSERT,1001,158.59,54.34,62.03,60.67,67.26,81.98,150.01
1730706777082,0,INSERT,1001,89.60,52.99,61.02,60.73,65.09,72.19,83.45
1730706777583,0,INSERT,991,329.73,53.44,62.24,60.58,67.45,92.03,121.41
1730706778085,0,INSERT,949,116.29,53.60,64.68,62.08,76.86,91.97,100.16
1730706778586,0,INSERT,1001,116.99,53.66,62.46,61.73,67.33,77.12,108.48
1730706779087,0,INSERT,989,3469.31,52.29,63.98,59.17,64.45,89.34,153.98
1730706779588,0,INSERT,994,315.39,52.77,64.14,61.76,73.66,95.30,136.06
1730706780088,0,INSERT,919,154.62,52.35,64.94,62.85,78.59,93.18,135.94
1730706780589,0,INSERT,1001,161.41,54.14,63.87,61.73,73.09,93.18,153.47
1730706781090,0,INSERT,997,173.31,53.66,64.16,62.78,70.08,90.75,147.33
1730706781591,0,INSERT,1001,87.04,52.93,60.03,59.49,64.19,72.77,84.54
1730706782092,0,INSERT,921,914.43,54.53,74.33,71.87,87.42,105.60,320.00
1730706782593,0,INSERT,1001,173.44,55.10,67.97,66.17,76.35,102.59,164.09
1730706783095,0,INSERT,1003,168.96,56.61,68.14,66.17,76.22,103.55,146.81
1730706783596,0,INSERT,1001,199.55,55.90,71.11,67.84,82.81,125.76,197.25
1730706784097,0,INSERT,927,295.68,55.84,77.56,76.16,91.78,117.06,234.75
1730706784598,0,INSERT,992,200.70,57.12,70.17,67.01,81.15,124.03,193.15
1730706785099,0,INSERT,1001,157.69,55.10,68.49,66.43,77.95,122.69,156.03
1730706785599,0,INSERT,1001,146.30,57.73,67.64,65.92,75.71,93.18,131.84
1730706786100,0,INSERT,924,924.16,57.06,76.76,74.37,89.73,104.89,735.23
1730706786601,0,INSERT,995,209.92,55.81,66.87,64.86,73.34,112.13,170.62
1730706787102,0,INSERT,1001,128.00,54.72,65.17,63.30,76.35,88.70,98.05
1730706787603,0,INSERT,996,148.35,53.79,64.85,63.42,71.94,97.66,132.35
1730706788104,0,INSERT,925,300.80,55.94,73.16,71.68,86.78,100.80,115.01
1730706788605,0,INSERT,1001,132.35,55.65,64.44,63.26,70.46,82.94,130.30
1730706789107,0,INSERT,1004,116.42,54.56,62.77,62.08,67.39,78.59,88.13
1730706789608,0,INSERT,1001,149.12,53.92,62.05,61.34,67.39,77.12,125.06
1730706790108,0,INSERT,933,857.60,53.86,66.29,63.01,77.31,90.24,303.87
1730706790609,0,INSERT,1001,143.36,52.64,60.09,59.49,64.45,73.53,119.23
1730706791110,0,INSERT,993,137.09,52.54,59.96,58.91,64.16,81.73,133.25
1730706791611,0,INSERT,1001,141.06,53.54,62.40,60.64,71.36,85.82,129.60
1730706792112,0,INSERT,923,920.58,53.89,66.77,63.33,77.31,91.78,315.13
1730706792613,0,INSERT,1001,130.50,51.52,62.41,60.93,69.95,84.09,127.87
1730706793114,0,INSERT,1001,133.50,56.96,67.37,66.43,73.15,87.04,132.74
1730706793615,0,INSERT,996,203.01,57.98,72.25,69.12,82.94,132.86,175.74
1730706794115,0,INSERT,906,330.75,59.07,78.27,76.48,93.95,113.34,200.06
1730706794616,0,INSERT,1001,168.06,56.42,66.20,64.89,71.81,88.58,131.84
1730706795117,0,INSERT,1001,107.01,56.16,65.87,65.02,71.17,83.84,91.65
1730706795618,0,INSERT,1001,181.25,55.62,69.47,67.14,80.70,102.72,143.74
1730706796119,0,INSERT,925,291.58,58.24,76.03,74.24,90.11,105.79,127.42
1730706796621,0,INSERT,1003,146.56,56.26,65.92,64.70,71.55,90.69,140.80
1730706797122,0,INSERT,1001,118.33,59.55,69.29,67.52,81.02,93.12,102.33
1730706797623,0,INSERT,1001,152.45,58.43,69.28,68.03,76.93,90.62,140.41
1730706798124,0,INSERT,926,302.85,60.77,79.11,77.57,93.95,116.80,159.49
1730706798625,0,INSERT,1001,196.48,59.33,70.15,68.22,77.31,94.59,171.78
