Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2024-11-04 07:52:37.037 , 87.73 , 19.04 , 1.18 , 222.23 , 90.39 , 19.73 , 2.21 , 223.54
2024-11-04 07:52:37.037 , 1797.03 , 228.95 , 1.01 , 130.46 , 656.44 , 128.47 , 1.65 , 200.41
2024-11-04 07:52:37.037 , 1280.00 , 283.72 , 1.30 , 226.98 , 993.00 , 212.86 , 1.71 , 219.50
2024-11-04 07:52:37.037 , 1191.00 , 264.55 , 1.28 , 227.46 , 1087.00 , 265.09 , 2.43 , 249.73
2024-11-04 07:52:37.037 , 1291.00 , 284.77 , 1.37 , 225.87 , 981.00 , 211.87 , 1.78 , 221.15
2024-11-04 07:52:37.037 , 1152.00 , 254.08 , 1.31 , 225.85 , 1106.00 , 253.04 , 2.41 , 234.28
2024-11-04 07:52:37.037 , 1279.00 , 283.59 , 1.25 , 227.05 , 1066.00 , 210.51 , 1.63 , 202.21
2024-11-04 07:52:37.037 , 1103.00 , 242.70 , 1.30 , 225.32 , 1190.00 , 243.88 , 2.06 , 209.86
2024-11-04 07:52:37.037 , 1252.00 , 277.61 , 1.24 , 227.05 , 1046.00 , 206.43 , 1.60 , 202.09
2024-11-04 07:52:37.037 , 1082.00 , 237.81 , 1.25 , 225.06 , 1175.00 , 241.57 , 2.09 , 210.53
2024-11-04 07:52:37.037 , 1230.00 , 273.19 , 1.25 , 227.44 , 1035.00 , 204.27 , 1.62 , 202.10
2024-11-04 07:52:37.037 , 1159.00 , 255.36 , 1.23 , 225.62 , 1244.00 , 254.81 , 1.94 , 209.75
2024-11-04 07:52:37.037 , 1265.00 , 281.48 , 1.24 , 227.85 , 1072.00 , 210.83 , 1.54 , 201.39
2024-11-04 07:52:37.037 , 1123.00 , 247.79 , 1.25 , 225.95 , 1194.00 , 247.47 , 2.00 , 212.24
2024-11-04 07:52:37.037 , 1218.00 , 269.19 , 1.30 , 226.31 , 1041.00 , 203.65 , 1.55 , 200.33
2024-11-04 07:52:37.037 , 1054.00 , 232.44 , 1.33 , 225.82 , 1284.00 , 240.04 , 1.96 , 191.44
2024-11-04 07:52:37.037 , 1229.00 , 271.63 , 1.24 , 226.32 , 1027.00 , 208.00 , 1.69 , 207.40
2024-11-04 07:52:37.037 , 1165.00 , 256.14 , 1.28 , 225.14 , 1146.00 , 256.39 , 2.19 , 229.10
2024-11-04 07:52:37.037 , 1266.00 , 279.92 , 1.24 , 226.41 , 1087.00 , 213.92 , 1.50 , 201.52
2024-11-04 07:52:37.037 , 1116.00 , 248.10 , 1.29 , 227.65 , 1213.00 , 251.73 , 2.01 , 212.50
2024-11-04 07:52:37.037 , 1259.00 , 279.16 , 1.28 , 227.05 , 1111.00 , 219.28 , 1.56 , 202.11
2024-11-04 07:52:37.037 , 1105.00 , 242.31 , 1.24 , 224.55 , 1216.00 , 248.30 , 2.00 , 209.09
2024-11-04 07:52:37.037 , 1265.00 , 280.00 , 1.24 , 226.66 , 1066.00 , 211.24 , 1.60 , 202.91
2024-11-04 07:52:37.037 , 1132.00 , 253.95 , 1.34 , 229.72 , 1100.00 , 232.92 , 2.11 , 216.82
2024-11-04 07:52:37.037 , 1006.00 , 247.37 , 1.17 , 251.80 , 1071.00 , 263.50 , 1.92 , 251.94
2024-11-04 07:52:37.037 , 947.00 , 232.01 , 1.08 , 250.87 , 1177.00 , 276.45 , 2.55 , 240.52
2024-11-04 07:52:37.037 , 995.00 , 243.35 , 1.17 , 250.44 , 1035.00 , 254.50 , 1.98 , 251.80
2024-11-04 07:52:37.037 , 940.00 , 229.68 , 1.11 , 250.21 , 1135.00 , 277.26 , 2.72 , 250.14
2024-11-04 07:52:37.037 , 1007.00 , 246.71 , 1.12 , 250.87 , 1013.00 , 250.06 , 2.02 , 252.78
2024-11-04 07:52:37.037 , 943.00 , 230.54 , 1.15 , 250.35 , 1142.00 , 279.61 , 2.63 , 250.72
2024-11-04 07:52:37.037 , 997.00 , 243.78 , 1.13 , 250.38 , 1139.00 , 250.50 , 1.90 , 225.21
2024-11-04 07:52:37.037 , 897.00 , 219.48 , 1.15 , 250.55 , 1131.00 , 276.06 , 2.68 , 249.95
2024-11-04 07:52:37.037 , 1055.00 , 258.32 , 1.12 , 250.73 , 989.00 , 244.14 , 2.06 , 252.78
2024-11-04 07:52:37.037 , 867.00 , 211.33 , 1.19 , 249.60 , 1142.00 , 280.35 , 2.71 , 251.38
2024-11-04 07:52:37.037 , 1043.00 , 255.13 , 1.10 , 250.48 , 981.00 , 242.24 , 2.08 , 252.86
2024-11-04 07:52:37.037 , 881.00 , 214.72 , 1.18 , 249.57 , 1133.00 , 277.57 , 2.66 , 250.87
2024-11-04 07:52:37.037 , 1029.00 , 251.81 , 1.10 , 250.59 , 1035.00 , 244.69 , 2.07 , 242.09
2024-11-04 07:52:37.037 , 906.00 , 221.21 , 1.15 , 250.02 , 1122.00 , 276.10 , 2.69 , 251.98
2024-11-04 07:52:37.037 , 1041.00 , 253.41 , 1.08 , 249.27 , 1056.00 , 257.53 , 2.00 , 249.72
2024-11-04 07:52:37.037 , 970.00 , 238.31 , 1.12 , 251.58 , 1150.00 , 284.44 , 2.62 , 253.28
2024-11-04 07:52:37.037 , 1080.00 , 263.53 , 1.07 , 249.86 , 1070.00 , 260.89 , 2.04 , 249.68
2024-11-04 07:52:37.037 , 928.00 , 226.94 , 1.13 , 250.42 , 1153.00 , 283.71 , 2.50 , 251.97
2024-11-04 07:52:37.037 , 1053.00 , 256.15 , 1.09 , 249.10 , 1047.00 , 255.24 , 2.11 , 249.63
2024-11-04 07:52:37.037 , 986.00 , 241.49 , 1.12 , 250.80 , 1143.00 , 283.66 , 2.46 , 254.13
2024-11-04 07:52:37.037 , 1003.00 , 243.71 , 1.12 , 248.81 , 1054.00 , 257.01 , 2.18 , 249.70
