timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1730829717681,0,INSERT,1806,39878.65,47.52,1973.65,51.01,66.88,36110.33,39485.44
1730829717681,1,INSERT,1034,38371.33,48.38,1596.73,51.45,66.50,34537.47,38240.25
1730829717681,2,INSERT,523,38174.72,49.22,1618.22,52.48,65.22,33488.89,37027.84
1730829717681,3,INSERT,53,38535.17,56.61,1865.49,67.97,94.72,28966.91,38535.17
1730829718184,0,INSERT,1759,219.78,48.06,53.08,51.52,57.60,70.40,133.38
1730829718184,1,INSERT,1006,167.68,48.42,52.95,51.81,55.42,71.94,112.38
1730829718184,2,INSERT,502,123.65,49.06,54.20,52.96,57.79,70.02,110.14
1730829718184,3,INSERT,50,135.29,56.96,66.90,62.43,74.69,135.29,135.29
1730829718687,0,INSERT,1581,863.74,47.23,55.25,51.71,63.65,80.06,95.74
1730829718687,1,INSERT,1005,223.10,48.74,54.52,53.15,59.23,73.09,111.87
1730829718687,2,INSERT,503,88.70,49.54,55.33,54.02,61.25,74.05,87.94
1730829718687,3,INSERT,50,104.58,55.10,63.34,60.61,72.51,104.58,104.58
1730829719190,0,INSERT,1720,98.05,47.94,52.39,50.91,56.54,75.20,93.18
1730829719190,1,INSERT,1006,603.65,48.61,54.81,52.99,59.20,69.57,168.19
1730829719190,2,INSERT,504,168.32,49.70,57.40,54.72,66.05,73.66,154.24
1730829719190,3,INSERT,51,67.90,53.31,57.55,56.96,61.76,63.26,67.90
1730829719696,0,INSERT,1544,854.01,47.78,57.27,52.80,69.69,86.85,105.28
1730829719696,1,INSERT,1011,92.35,48.67,54.03,52.58,60.45,73.34,90.50
1730829719696,2,INSERT,505,89.73,49.60,54.89,53.82,58.40,74.43,88.19
1730829719696,3,INSERT,50,90.75,53.57,64.71,61.63,75.33,90.75,90.75
1730829720199,0,INSERT,1755,106.94,47.52,51.67,50.75,54.14,66.05,99.97
1730829720199,1,INSERT,1004,70.91,48.26,52.30,51.68,55.36,62.69,69.25
1730829720199,2,INSERT,503,72.45,49.86,54.34,53.76,57.63,65.02,68.22
1730829720199,3,INSERT,51,77.69,54.98,61.49,60.54,64.73,73.09,77.69
