Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2024-11-05 18:01:47.129 , 482.55 , 108.66 , 1.12 , 230.57 , 687.40 , 165.57 , 3.45 , 246.65
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 37.00 , 0.55 , 0.41 , 15.35
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 40.00 , 0.27 , 0.57 , 7.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.06 , 0.50 , 32.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 18:01:47.129 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.02 , 1.00 , 10.00
2024-11-05 18:01:47.129 , 2.00 , 0.06 , 1.50 , 28.75 , 260.00 , 62.95 , 1.94 , 247.94
2024-11-05 18:01:47.129 , 4.00 , 0.11 , 2.00 , 28.75 , 520.00 , 125.84 , 1.98 , 247.82
2024-11-05 18:01:47.129 , 2.00 , 0.06 , 2.00 , 28.75 , 281.00 , 68.18 , 1.92 , 248.47
2024-11-05 18:01:47.129 , 46.00 , 8.17 , 1.67 , 181.84 , 774.00 , 186.60 , 1.93 , 246.87
2024-11-05 18:01:47.129 , 1075.00 , 234.25 , 0.73 , 223.13 , 1292.00 , 250.66 , 1.70 , 198.67
