timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1730794736117,0,INSERT,5,19431.42,18694.14,14565.38,19316.74,20480.00,21512.19,21512.19
1730794736117,1,INSERT,16,18022.40,10059.78,13158.50,15147.01,17465.34,18022.40,18022.40
1730794736117,2,INSERT,22,17399.81,160.77,9604.45,9953.28,15876.09,17399.81,17399.81
1730794736117,3,INSERT,3,18104.32,1205.25,9892.35,10379.26,18104.32,18104.32,18104.32
1730794736620,0,INSERT,1815,21069.82,54.34,514.88,56.93,63.71,15785.98,19562.49
1730794736620,1,INSERT,1024,21561.34,54.56,203.89,57.34,62.81,6901.76,10911.74
1730794736620,2,INSERT,504,127.10,55.36,59.36,58.11,62.75,80.70,93.06
1730794736620,3,INSERT,50,146.43,59.14,76.69,72.00,92.42,146.43,146.43
1730794737124,0,INSERT,1760,137.98,54.21,58.64,57.57,62.05,72.58,125.31
1730794737124,1,INSERT,1006,147.33,54.62,59.10,58.11,61.66,76.93,124.80
1730794737124,2,INSERT,503,257.15,55.52,60.70,58.81,64.80,83.45,134.27
1730794737124,3,INSERT,50,136.19,60.64,71.13,68.29,78.59,136.19,136.19
1730794737628,0,INSERT,1580,2703.36,53.02,64.14,59.01,74.30,85.25,189.44
1730794737628,1,INSERT,1008,2740.22,55.17,71.74,60.86,70.02,93.57,2387.97
1730794737628,2,INSERT,504,2150.40,56.48,70.42,62.46,71.04,90.50,1171.45
1730794737628,3,INSERT,51,223.49,67.07,83.91,77.82,102.53,108.03,223.49
1730794738132,0,INSERT,1715,1418.24,54.27,60.73,58.37,64.45,84.86,116.54
1730794738132,1,INSERT,1008,622.08,54.62,63.21,61.76,68.67,79.30,100.48
1730794738132,2,INSERT,505,100.42,56.19,63.74,61.98,70.78,83.33,91.58
1730794738132,3,INSERT,51,153.60,62.98,74.17,70.46,83.33,100.67,153.60
1730794738639,0,INSERT,1549,1338.37,54.34,67.36,61.98,80.45,94.72,791.04
1730794738639,1,INSERT,1011,1408.00,54.72,64.70,59.62,71.36,89.53,957.44
1730794738639,2,INSERT,504,956.41,55.90,69.99,66.81,79.30,101.95,108.09
1730794738639,3,INSERT,50,109.25,67.39,78.77,78.46,84.67,109.25,109.25
1730794739143,0,INSERT,1757,93.12,54.37,59.51,58.21,64.80,76.48,87.10
1730794739143,1,INSERT,1006,112.96,55.58,61.12,60.00,65.31,78.72,109.95
1730794739143,2,INSERT,503,94.59,56.42,61.99,61.12,65.38,81.86,90.69
1730794739143,3,INSERT,50,102.78,64.19,73.64,72.38,84.03,102.78,102.78
1730794739646,0,INSERT,1735,127.61,54.82,62.74,61.02,69.18,90.75,115.14
1730794739646,1,INSERT,1004,1263.62,56.06,66.18,63.36,72.89,92.35,181.25
1730794739646,2,INSERT,503,111.30,56.99,66.56,64.83,74.43,99.39,108.93
1730794739646,3,INSERT,50,125.18,69.12,87.15,85.06,109.06,125.18,125.18
1730794740149,0,INSERT,1545,945.66,54.14,64.20,59.39,78.72,93.76,169.73
1730794740149,1,INSERT,1006,89.79,54.91,60.50,59.45,65.28,76.22,85.12
1730794740149,2,INSERT,504,101.18,55.90,63.58,62.24,70.53,84.99,90.05
1730794740149,3,INSERT,51,152.83,63.52,80.44,75.14,96.19,108.67,152.83
1730794740653,0,INSERT,1530,870.91,55.20,66.03,61.89,80.19,90.24,231.94
1730794740653,1,INSERT,1006,96.64,54.91,60.02,59.20,64.06,74.56,84.67
1730794740653,2,INSERT,503,94.78,55.90,61.52,60.48,65.86,84.80,91.52
1730794740653,3,INSERT,50,153.09,69.44,85.07,81.28,97.60,153.09,153.09
1730794741158,0,INSERT,1650,727.04,54.21,63.41,60.26,75.26,87.94,122.43
1730794741158,1,INSERT,1009,178.56,55.74,61.77,60.22,68.09,78.97,143.23
1730794741158,2,INSERT,504,104.13,56.32,65.77,64.25,74.11,89.22,101.25
1730794741158,3,INSERT,50,117.50,63.78,82.97,79.81,99.65,117.50,117.50
1730794741662,0,INSERT,1760,117.12,54.21,61.39,59.97,66.94,82.62,111.23
1730794741662,1,INSERT,1006,139.78,56.29,63.44,61.92,70.40,87.68,107.52
1730794741662,2,INSERT,503,120.77,57.73,65.81,64.32,70.40,100.22,107.78
1730794741662,3,INSERT,51,139.65,70.85,84.65,81.09,102.27,116.42,139.65
1730794742165,0,INSERT,1680,4579.33,54.11,65.06,60.29,70.27,87.17,126.91
1730794742165,1,INSERT,1006,110.59,55.14,61.56,60.67,66.24,81.92,108.73
1730794742165,2,INSERT,503,104.32,56.64,63.70,62.78,68.54,84.22,91.90
1730794742165,3,INSERT,50,197.89,67.26,86.53,82.30,92.61,197.89,197.89
1730794742669,0,INSERT,1598,2973.70,54.40,68.33,60.96,79.74,96.25,706.05
1730794742669,1,INSERT,1006,633.86,55.55,61.02,58.94,65.15,84.35,192.38
1730794742669,2,INSERT,503,87.23,55.87,62.16,61.57,66.56,79.42,81.66
1730794742669,3,INSERT,50,183.81,66.69,89.76,86.46,103.55,183.81,183.81
1730794743172,0,INSERT,1760,98.24,54.46,60.46,59.45,65.38,75.84,92.03
1730794743172,1,INSERT,1006,96.25,55.81,60.84,60.09,64.80,75.39,89.09
1730794743172,2,INSERT,503,84.03,56.54,62.47,61.60,66.94,78.02,83.20
1730794743172,3,INSERT,51,179.97,62.98,78.80,76.03,89.41,94.46,179.97
1730794743676,0,INSERT,1651,846.34,52.64,60.95,57.15,70.46,85.57,684.54
1730794743676,1,INSERT,1008,98.94,55.30,61.51,60.58,65.98,78.72,94.08
1730794743676,2,INSERT,505,179.33,55.94,63.58,61.79,69.50,90.50,155.90
1730794743676,3,INSERT,50,107.07,67.39,79.27,77.18,89.41,107.07,107.07
1730794744182,0,INSERT,1672,1219.58,53.02,60.49,57.09,68.48,83.33,118.78
1730794744182,1,INSERT,1010,1288.19,48.93,63.98,61.25,67.26,81.41,836.61
1730794744182,2,INSERT,504,434.43,55.52,62.44,60.77,68.03,79.49,92.42
1730794744182,3,INSERT,51,182.40,61.57,73.65,68.93,83.84,91.71,182.40
1730794744686,0,INSERT,1576,684.54,48.45,61.69,59.39,76.67,90.37,105.41
1730794744686,1,INSERT,1006,195.33,55.14,61.57,59.87,67.52,80.45,165.50
1730794744686,2,INSERT,503,280.06,55.42,63.45,61.66,67.65,86.91,168.06
1730794744686,3,INSERT,50,118.40,65.98,79.76,78.14,93.95,118.40,118.40
1730794745189,0,INSERT,1731,705.53,48.29,53.21,51.71,57.66,69.69,80.00
1730794745189,1,INSERT,1006,86.91,55.46,60.51,59.90,63.94,73.41,84.09
1730794745189,2,INSERT,503,90.56,59.46,64.95,64.13,69.18,81.79,88.06
1730794745189,3,INSERT,50,104.96,64.80,83.63,80.19,97.15,104.96,144.51
1730794745693,0,INSERT,1721,1305.60,48.74,55.02,52.54,60.00,79.61,103.81
1730794745693,1,INSERT,1005,1275.90,55.55,64.18,61.09,66.69,79.61,778.75
1730794745693,2,INSERT,501,1444.86,56.19,67.98,63.49,69.18,95.10,494.85
1730794745693,3,INSERT,50,113.98,63.78,83.73,81.92,103.68,113.98,113.98
1730794746196,0,INSERT,1591,4546.56,48.77,62.17,56.93,71.55,81.15,129.34
1730794746196,1,INSERT,1006,283.13,55.55,60.86,59.65,64.48,76.80,171.13
1730794746196,2,INSERT,504,122.88,56.06,62.49,61.47,66.81,79.94,101.89
1730794746196,3,INSERT,50,106.75,63.20,73.79,70.59,84.93,106.75,106.75
1730794746700,0,INSERT,1732,151.29,53.98,58.17,57.18,61.28,76.09,92.73
1730794746700,1,INSERT,1006,115.07,55.14,60.17,59.23,64.13,78.72,107.14
1730794746700,2,INSERT,503,85.82,56.48,62.50,61.25,68.54,78.08,80.77
1730794746700,3,INSERT,51,161.79,65.06,78.56,74.11,92.54,103.94,161.79
1730794747203,0,INSERT,1649,767.49,49.76,61.11,56.61,68.93,83.39,712.19
1730794747203,1,INSERT,1006,265.47,55.55,60.87,59.65,65.12,77.89,118.59
1730794747203,2,INSERT,503,562.69,56.45,64.47,61.63,69.76,82.24,177.15
1730794747203,3,INSERT,50,97.47,62.08,73.91,70.85,84.09,97.47,97.47
1730794747707,0,INSERT,1760,99.52,49.28,58.44,57.89,64.19,77.38,95.42
1730794747707,1,INSERT,1006,153.47,55.87,61.71,60.64,65.92,83.52,132.35
1730794747707,2,INSERT,501,113.86,57.54,66.87,64.64,75.52,97.86,107.97
1730794747707,3,INSERT,50,118.72,65.98,83.27,79.61,100.48,118.72,118.72
1730794748210,0,INSERT,1655,791.55,53.73,61.92,58.17,71.10,91.65,300.80
1730794748210,1,INSERT,1006,285.69,49.63,59.65,59.55,64.38,82.62,116.16
1730794748210,2,INSERT,503,115.20,56.51,65.90,63.87,74.75,98.05,102.53
1730794748210,3,INSERT,51,164.74,69.76,90.71,87.94,105.79,120.83,164.74
1730794748714,0,INSERT,1516,1164.29,54.27,67.05,60.54,79.74,92.67,764.93
1730794748714,1,INSERT,1006,666.11,49.44,59.64,58.21,66.05,82.62,325.12
1730794748714,2,INSERT,503,565.25,56.86,65.70,63.07,70.53,92.99,111.04
1730794748714,3,INSERT,50,122.37,71.94,90.64,88.70,103.61,122.37,122.37
1730794749217,0,INSERT,1752,97.09,54.37,60.21,59.39,64.06,76.86,92.16
1730794749217,1,INSERT,1006,94.33,49.63,56.95,57.22,61.79,67.14,78.78
1730794749217,2,INSERT,503,93.82,57.12,64.28,63.23,70.33,87.74,93.57
1730794749217,3,INSERT,50,120.25,72.83,86.45,84.35,98.17,120.25,120.25
1730794749721,0,INSERT,1647,1312.77,53.54,62.66,58.56,71.74,88.06,675.84
1730794749721,1,INSERT,994,6508.54,50.02,67.54,60.54,69.38,80.00,116.29
1730794749721,2,INSERT,503,101.38,57.22,66.01,64.54,73.02,88.83,100.86
1730794749721,3,INSERT,51,211.46,70.98,90.68,87.30,101.89,111.30,211.46
1730794750224,0,INSERT,1624,784.89,53.95,63.04,59.30,73.53,89.02,301.82
1730794750224,1,INSERT,1006,736.25,54.62,61.97,60.51,65.66,81.15,232.19
1730794750224,2,INSERT,503,92.80,57.54,64.75,63.97,70.97,83.20,85.44
1730794750224,3,INSERT,50,109.06,66.62,83.73,82.05,96.25,109.06,109.06
1730794750728,0,INSERT,1653,1230.85,53.06,61.76,58.40,71.42,90.05,124.16
1730794750728,1,INSERT,1006,1231.87,54.69,61.59,58.75,62.78,80.38,832.00
1730794750728,2,INSERT,503,1388.54,55.84,67.40,62.91,69.25,96.06,408.83
1730794750728,3,INSERT,50,112.70,68.74,83.91,82.11,94.91,112.70,112.70
1730794751231,0,INSERT,1760,138.11,54.18,59.67,58.75,63.58,75.07,110.66
1730794751231,1,INSERT,1008,204.67,54.72,61.37,60.58,65.25,77.76,95.61
1730794751231,2,INSERT,506,107.84,57.18,65.41,64.80,69.89,82.81,90.17
1730794751231,3,INSERT,51,155.26,69.76,83.14,78.02,97.34,115.20,155.26
1730794751740,0,INSERT,1693,668.67,49.12,60.34,58.08,68.03,82.05,97.47
1730794751740,1,INSERT,1013,125.50,54.85,61.19,60.19,65.73,82.56,100.93
1730794751740,2,INSERT,505,110.14,57.92,65.50,64.42,71.30,84.03,106.24
1730794751740,3,INSERT,51,187.78,70.66,87.76,85.76,99.78,121.47,187.78
1730794752243,0,INSERT,1541,1507.33,48.67,61.73,55.01,74.43,85.44,936.96
1730794752243,1,INSERT,1006,429.06,53.47,58.49,57.34,61.76,69.06,102.40
1730794752243,2,INSERT,503,99.84,55.81,61.77,60.58,66.69,78.91,93.06
1730794752243,3,INSERT,50,106.37,67.07,79.59,76.48,93.25,106.37,106.37
1730794752746,0,INSERT,1706,784.38,48.64,55.05,52.58,58.62,78.21,117.69
1730794752746,1,INSERT,1006,564.74,53.86,59.36,57.76,64.06,75.01,101.76
1730794752746,2,INSERT,503,91.90,55.49,61.89,60.86,67.39,79.87,90.11
