Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2024-11-05 08:18:46.066 , 170.17 , 39.61 , 1.03 , 238.36 , 219.42 , 48.65 , 2.40 , 227.03
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 38.00 , 0.58 , 0.45 , 15.68
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.05 , 0.50 , 26.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 08:18:46.066 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.02 , 0.50 , 12.00
2024-11-05 08:18:46.066 , 2.00 , 0.06 , 3.00 , 28.75 , 260.00 , 62.96 , 1.95 , 247.98
2024-11-05 08:18:46.066 , 4.00 , 0.11 , 2.00 , 28.75 , 520.00 , 125.88 , 2.01 , 247.89
2024-11-05 08:18:46.066 , 2.00 , 0.06 , 1.50 , 28.75 , 280.00 , 67.94 , 1.99 , 248.47
2024-11-05 08:18:46.066 , 4.00 , 0.11 , 2.00 , 28.75 , 748.00 , 182.92 , 1.97 , 250.41
2024-11-05 08:18:46.066 , 1095.00 , 238.33 , 0.73 , 222.88 , 1250.00 , 248.35 , 1.59 , 203.45
2024-11-05 08:18:46.066 , 73.00 , 13.43 , 0.64 , 188.45 , 563.00 , 130.25 , 2.39 , 236.90
2024-11-05 08:18:46.066 , 2.00 , 0.06 , 2.00 , 28.75 , 348.00 , 84.96 , 1.97 , 250.01
2024-11-05 08:18:46.066 , 587.00 , 125.29 , 0.75 , 218.57 , 1405.00 , 287.39 , 2.29 , 209.46
2024-11-05 08:18:46.066 , 871.00 , 188.14 , 0.73 , 221.19 , 1319.00 , 275.55 , 1.70 , 213.93
2024-11-05 08:18:46.066 , 848.00 , 189.21 , 0.72 , 228.48 , 1336.00 , 282.17 , 2.38 , 216.27
2024-11-05 08:18:46.066 , 1036.00 , 231.46 , 0.69 , 228.78 , 1335.00 , 269.27 , 1.73 , 206.54
2024-11-05 08:18:46.066 , 111.00 , 21.20 , 0.82 , 195.54 , 804.00 , 186.01 , 2.84 , 236.91
2024-11-05 08:18:46.066 , 2.00 , 0.06 , 0.50 , 28.50 , 428.00 , 104.25 , 1.99 , 249.43
2024-11-05 08:18:46.066 , 544.00 , 117.30 , 0.81 , 220.79 , 852.00 , 196.10 , 1.89 , 235.69
2024-11-05 08:18:46.066 , 627.00 , 134.47 , 0.69 , 219.62 , 1183.00 , 254.44 , 1.82 , 220.24
2024-11-05 08:18:46.066 , 771.00 , 166.93 , 0.72 , 221.70 , 1360.00 , 293.27 , 2.75 , 220.82
2024-11-05 08:18:46.066 , 1029.00 , 224.44 , 0.66 , 223.35 , 1245.00 , 264.78 , 2.17 , 217.78
2024-11-05 08:18:46.066 , 792.00 , 177.10 , 0.72 , 228.98 , 1170.00 , 269.28 , 2.99 , 235.68
2024-11-05 08:18:46.066 , 834.00 , 186.24 , 0.73 , 228.67 , 1324.00 , 296.14 , 2.72 , 229.04
2024-11-05 08:18:46.066 , 624.00 , 137.28 , 0.74 , 225.29 , 1214.00 , 276.74 , 3.48 , 233.43
2024-11-05 08:18:46.066 , 962.00 , 215.33 , 0.67 , 229.21 , 1178.00 , 289.32 , 3.03 , 251.49
2024-11-05 08:18:46.066 , 853.00 , 187.05 , 0.66 , 224.54 , 1160.00 , 283.72 , 3.51 , 250.46
2024-11-05 08:18:46.066 , 888.00 , 193.27 , 0.66 , 222.87 , 1288.00 , 272.70 , 2.56 , 216.80
2024-11-05 08:18:46.066 , 651.00 , 140.89 , 0.73 , 221.62 , 1277.00 , 273.41 , 3.11 , 219.24
2024-11-05 08:18:46.066 , 811.00 , 175.77 , 0.73 , 221.93 , 1381.00 , 291.88 , 2.49 , 216.43
2024-11-05 08:18:46.066 , 878.00 , 200.61 , 0.67 , 233.97 , 1324.00 , 273.66 , 2.26 , 211.65
2024-11-05 08:18:46.066 , 827.00 , 189.77 , 0.71 , 234.98 , 1306.00 , 286.07 , 2.47 , 224.30
2024-11-05 08:18:46.066 , 650.00 , 147.30 , 0.66 , 232.06 , 1300.00 , 282.61 , 3.06 , 222.61
2024-11-05 08:18:46.066 , 865.00 , 196.64 , 0.68 , 232.78 , 1332.00 , 277.75 , 2.28 , 213.53
2024-11-05 08:18:46.066 , 885.00 , 194.90 , 0.67 , 225.51 , 1201.00 , 259.94 , 2.43 , 221.63
2024-11-05 08:18:46.066 , 769.00 , 168.54 , 0.70 , 224.43 , 1310.00 , 295.14 , 2.97 , 230.70
2024-11-05 08:18:46.066 , 627.00 , 139.72 , 0.75 , 228.19 , 1198.00 , 264.65 , 3.41 , 226.21
2024-11-05 08:18:46.066 , 915.00 , 211.90 , 0.70 , 237.14 , 1220.00 , 287.69 , 2.89 , 241.47
2024-11-05 08:18:46.066 , 833.00 , 188.79 , 0.74 , 232.07 , 1159.00 , 283.18 , 3.49 , 250.19
2024-11-05 08:18:46.066 , 902.00 , 203.62 , 0.68 , 231.16 , 1146.00 , 283.40 , 3.24 , 253.23
2024-11-05 08:18:46.066 , 696.00 , 155.85 , 0.74 , 229.30 , 1177.00 , 279.79 , 4.10 , 243.42
2024-11-05 08:18:46.066 , 673.00 , 159.49 , 0.69 , 242.67 , 1321.00 , 284.27 , 3.24 , 220.35
2024-11-05 08:18:46.066 , 929.00 , 211.61 , 0.69 , 233.25 , 1215.00 , 276.25 , 2.82 , 232.82
2024-11-05 08:18:46.066 , 868.00 , 197.24 , 0.71 , 232.68 , 1384.00 , 281.13 , 2.64 , 208.00
2024-11-05 08:18:46.066 , 434.00 , 98.28 , 0.84 , 231.88 , 1253.00 , 282.48 , 3.81 , 230.85
2024-11-05 08:18:46.066 , 704.00 , 164.88 , 0.71 , 239.82 , 1312.00 , 282.21 , 2.80 , 220.26
