timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1730754498593,0,INSERT,1859,11608.06,50.18,274.48,55.49,64.29,7798.78,11231.23
1730754499093,0,INSERT,2001,143.36,50.40,57.66,56.03,61.50,86.27,114.62
1730754499594,0,INSERT,1837,760.32,51.01,62.14,58.56,71.87,102.53,250.24
1730754500096,0,INSERT,2006,117.25,50.88,57.64,56.48,62.05,83.20,102.27
1730754500597,0,INSERT,1815,913.92,51.49,63.48,60.64,74.50,97.28,164.61
1730754501098,0,INSERT,2000,685.57,51.39,59.35,57.53,63.71,91.07,125.44
1730754501599,0,INSERT,1830,865.79,50.88,64.78,59.71,77.25,105.60,149.12
1730754502100,0,INSERT,2002,100.03,50.43,56.20,54.85,58.91,86.08,99.20
1730754502601,0,INSERT,1762,1096.70,50.56,62.36,58.24,73.53,101.82,198.66
1730754503102,0,INSERT,2002,133.25,49.95,58.44,56.45,65.60,90.37,118.08
1730754503603,0,INSERT,1826,3622.91,51.20,63.04,57.38,69.69,91.78,815.62
1730754504104,0,INSERT,2002,107.33,50.37,57.26,55.62,61.41,87.87,95.94
1730754504604,0,INSERT,1845,828.93,48.45,58.51,56.22,64.45,82.11,106.75
1730754505105,0,INSERT,2001,123.58,49.12,54.95,54.05,58.59,80.32,107.45
1730754505607,0,INSERT,1839,878.59,49.73,61.20,57.44,70.08,93.57,297.21
1730754506108,0,INSERT,2002,131.97,49.06,54.51,53.70,57.57,79.17,95.42
1730754506609,0,INSERT,1844,228.48,44.58,56.66,54.49,65.25,85.06,109.31
1730754507110,0,INSERT,2002,205.69,44.64,52.32,50.62,58.24,80.13,114.11
1730754507611,0,INSERT,1859,875.01,44.61,54.35,52.09,62.08,85.06,194.18
1730754508112,0,INSERT,1974,945.66,45.15,53.26,50.46,60.06,87.36,99.33
1730754508613,0,INSERT,1820,323.33,44.42,55.81,52.09,67.20,90.94,118.85
1730754509114,0,INSERT,1930,3045.38,46.72,61.32,57.89,69.63,95.74,118.85
1730754509614,0,INSERT,1888,760.32,45.44,58.27,55.94,68.42,89.02,115.07
1730754510115,0,INSERT,1969,732.16,43.62,54.36,52.73,59.10,83.97,104.96
1730754510616,0,INSERT,1910,801.79,44.58,55.98,53.89,64.06,85.25,168.70
1730754511117,0,INSERT,1953,103.36,43.97,56.01,54.59,63.01,86.46,93.89
1730754511618,0,INSERT,1925,271.87,45.09,56.63,54.85,65.09,86.08,117.06
1730754512119,0,INSERT,1920,851.97,44.03,55.66,53.82,62.21,84.35,108.67
1730754512620,0,INSERT,1936,360.45,49.02,55.97,54.59,60.51,78.97,121.02
1730754513122,0,INSERT,1898,913.92,44.74,54.89,51.10,63.01,88.64,840.70
1730754513623,0,INSERT,1968,222.72,43.74,50.57,48.51,56.09,76.54,89.92
1730754514124,0,INSERT,1894,111.04,43.87,53.60,51.71,62.85,82.81,97.28
1730754514625,0,INSERT,1980,376.32,43.68,50.61,49.38,55.65,66.88,83.39
1730754515126,0,INSERT,1872,771.07,44.06,54.92,52.48,64.54,86.27,109.95
1730754515626,0,INSERT,2002,192.38,44.77,52.39,50.91,58.43,70.97,125.44
1730754516127,0,INSERT,1839,962.56,44.13,56.98,53.15,64.89,89.86,811.01
1730754516628,0,INSERT,2002,114.11,44.13,51.59,50.02,57.12,73.15,99.45
1730754517129,0,INSERT,1770,1074.17,44.70,60.11,56.77,70.91,97.73,157.69
1730754517630,0,INSERT,2002,178.05,44.16,55.43,54.81,60.58,77.95,120.19
1730754518131,0,INSERT,1847,834.56,44.90,60.12,56.80,69.82,94.14,263.17
1730754518632,0,INSERT,2002,181.12,44.77,55.92,55.33,61.31,75.07,113.22
1730754519133,0,INSERT,1847,785.92,44.77,58.14,55.62,67.01,89.47,238.59
1730754519633,0,INSERT,2002,166.40,43.87,54.85,54.37,59.90,76.86,113.02
1730754520134,0,INSERT,1844,279.30,44.48,57.72,56.00,67.07,88.13,102.08
1730754520635,0,INSERT,1976,6782.98,43.94,57.74,53.95,59.33,73.22,103.49
1730754521136,0,INSERT,1845,832.00,44.58,56.58,54.49,65.66,86.72,113.15
1730754521637,0,INSERT,2002,132.99,44.67,51.54,50.05,57.34,71.61,128.38
1730754522139,0,INSERT,1832,902.65,44.45,56.44,53.31,63.97,90.30,833.53
1730754522640,0,INSERT,2002,136.45,43.97,50.94,49.66,56.77,64.54,102.08
1730754523141,0,INSERT,1832,891.90,46.02,59.37,55.07,71.74,102.40,867.84
1730754523642,0,INSERT,2002,164.86,43.78,50.93,48.93,56.64,80.64,109.31
1730754524142,0,INSERT,1852,242.94,44.96,56.18,54.08,66.17,88.83,102.78
1730754524643,0,INSERT,1989,151.94,44.32,52.22,50.91,58.27,74.30,111.87
1730754525144,0,INSERT,1856,878.59,44.96,56.42,54.40,64.80,86.59,112.19
1730754525645,0,INSERT,1975,119.10,44.67,52.72,51.30,59.20,74.37,88.83
1730754526146,0,INSERT,1832,1080.32,44.77,60.45,58.27,69.95,97.47,156.80
1730754526647,0,INSERT,1946,125.44,43.71,56.26,55.26,62.69,78.97,103.30
1730754527148,0,INSERT,1891,928.25,46.69,62.07,58.56,71.17,102.40,278.01
