Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2024-11-04 21:51:25.039 , 80.94 , 18.74 , 1.14 , 237.09 , 100.06 , 22.70 , 2.54 , 232.33
2024-11-04 21:51:25.039 , 1240.00 , 236.15 , 1.32 , 195.01 , 637.00 , 154.72 , 2.19 , 248.72
2024-11-04 21:51:25.039 , 836.00 , 205.61 , 1.23 , 251.85 , 1089.00 , 269.16 , 2.88 , 253.09
2024-11-04 21:51:25.039 , 829.00 , 203.63 , 1.23 , 251.53 , 1193.00 , 294.38 , 2.76 , 252.67
2024-11-04 21:51:25.039 , 917.00 , 206.71 , 1.17 , 230.82 , 1131.00 , 278.07 , 2.93 , 251.76
2024-11-04 21:51:25.039 , 879.00 , 197.67 , 1.14 , 230.28 , 1109.00 , 273.64 , 3.00 , 252.67
2024-11-04 21:51:25.039 , 879.00 , 196.78 , 1.15 , 229.24 , 1179.00 , 278.60 , 2.90 , 241.97
2024-11-04 21:51:25.039 , 994.00 , 223.29 , 1.15 , 230.03 , 1097.00 , 268.85 , 2.85 , 250.96
2024-11-04 21:51:25.039 , 913.00 , 216.63 , 1.18 , 242.97 , 1111.00 , 273.34 , 2.78 , 251.94
2024-11-04 21:51:25.039 , 910.00 , 201.64 , 1.15 , 226.90 , 1093.00 , 270.12 , 2.89 , 253.07
2024-11-04 21:51:25.039 , 947.00 , 209.58 , 1.22 , 226.63 , 1090.00 , 268.34 , 2.77 , 252.09
2024-11-04 21:51:25.039 , 913.00 , 202.73 , 1.21 , 227.38 , 1097.00 , 270.30 , 2.89 , 252.31
2024-11-04 21:51:25.039 , 943.00 , 209.58 , 1.19 , 227.58 , 1098.00 , 268.28 , 2.78 , 250.20
2024-11-04 21:51:25.039 , 971.00 , 215.10 , 1.18 , 226.84 , 1082.00 , 266.41 , 2.73 , 252.13
2024-11-04 21:51:25.039 , 1047.00 , 232.45 , 1.15 , 227.34 , 925.00 , 229.37 , 2.21 , 253.92
2024-11-04 21:51:25.039 , 978.00 , 217.47 , 1.19 , 227.69 , 878.00 , 217.41 , 2.21 , 253.56
2024-11-04 21:51:25.039 , 956.00 , 212.65 , 1.16 , 227.78 , 1092.00 , 269.56 , 2.80 , 252.77
2024-11-04 21:51:25.039 , 1089.00 , 241.55 , 1.09 , 227.13 , 1021.00 , 248.49 , 2.07 , 249.22
2024-11-04 21:51:25.039 , 1071.00 , 238.15 , 1.11 , 227.70 , 950.00 , 235.40 , 2.15 , 253.74
2024-11-04 21:51:25.039 , 1070.30 , 238.01 , 1.13 , 227.72 , 904.95 , 224.15 , 2.22 , 253.64
2024-11-04 21:51:25.039 , 948.00 , 210.01 , 1.17 , 226.84 , 1060.00 , 262.79 , 2.75 , 253.86
2024-11-04 21:51:25.039 , 1025.00 , 227.45 , 1.19 , 227.22 , 952.00 , 234.87 , 2.37 , 252.63
2024-11-04 21:51:25.039 , 1043.00 , 232.46 , 1.17 , 228.23 , 922.00 , 228.39 , 2.24 , 253.66
2024-11-04 21:51:25.039 , 1066.00 , 237.31 , 1.17 , 227.96 , 957.00 , 233.50 , 2.14 , 249.85
2024-11-04 21:51:25.039 , 1075.00 , 238.41 , 1.16 , 227.10 , 950.00 , 235.39 , 2.16 , 253.73
2024-11-04 21:51:25.039 , 1058.00 , 234.20 , 1.16 , 226.67 , 930.00 , 230.41 , 2.23 , 253.69
2024-11-04 21:51:25.039 , 1085.00 , 241.52 , 1.15 , 227.94 , 946.00 , 235.45 , 2.16 , 254.87
2024-11-04 21:51:25.039 , 965.00 , 214.64 , 1.18 , 227.76 , 1097.00 , 269.75 , 2.74 , 251.80
2024-11-04 21:51:25.039 , 1025.00 , 227.40 , 1.14 , 227.17 , 947.00 , 231.71 , 2.24 , 250.55
2024-11-04 21:51:25.039 , 1078.00 , 239.93 , 1.14 , 227.91 , 960.00 , 237.80 , 2.19 , 253.66
2024-11-04 21:51:25.039 , 1096.00 , 244.38 , 1.11 , 228.32 , 950.00 , 235.40 , 2.19 , 253.73
2024-11-04 21:51:25.039 , 1107.00 , 246.34 , 1.13 , 227.87 , 979.00 , 241.80 , 2.15 , 252.91
2024-11-04 21:51:25.039 , 1107.00 , 245.26 , 1.07 , 226.87 , 971.00 , 240.65 , 2.18 , 253.79
2024-11-04 21:51:25.039 , 1044.00 , 232.45 , 1.18 , 228.00 , 930.00 , 230.40 , 2.23 , 253.69
2024-11-04 21:51:25.039 , 1058.00 , 235.33 , 1.13 , 227.77 , 954.00 , 233.07 , 2.21 , 250.18
2024-11-04 21:51:25.039 , 1044.00 , 232.45 , 1.17 , 228.00 , 951.00 , 235.66 , 2.17 , 253.75
2024-11-04 21:51:25.039 , 1083.00 , 242.59 , 1.16 , 229.38 , 984.00 , 241.62 , 2.07 , 251.45
2024-11-04 21:51:25.039 , 969.00 , 218.26 , 1.17 , 230.65 , 1116.00 , 274.77 , 2.68 , 252.11
2024-11-04 21:51:25.039 , 1057.00 , 244.00 , 1.17 , 236.38 , 978.00 , 241.37 , 2.09 , 252.72
2024-11-04 21:51:25.039 , 1023.00 , 251.21 , 1.17 , 251.46 , 978.00 , 242.40 , 2.12 , 253.80
2024-11-04 21:51:25.039 , 958.00 , 236.42 , 1.20 , 252.70 , 975.00 , 238.33 , 2.16 , 250.31
2024-11-04 21:51:25.039 , 1004.00 , 247.35 , 1.15 , 252.27 , 979.00 , 242.41 , 2.18 , 253.55
2024-11-04 21:51:25.039 , 1016.00 , 250.22 , 1.17 , 252.19 , 986.00 , 244.39 , 2.15 , 253.81
2024-11-04 21:51:25.039 , 989.00 , 242.38 , 1.15 , 250.96 , 986.00 , 244.39 , 2.16 , 253.81
2024-11-04 21:51:25.039 , 1025.00 , 252.30 , 1.13 , 252.06 , 979.00 , 242.40 , 2.17 , 253.54
2024-11-04 21:51:25.039 , 980.00 , 241.29 , 1.17 , 252.12 , 970.00 , 237.50 , 2.19 , 250.73
2024-11-04 21:51:25.039 , 967.00 , 238.41 , 1.16 , 252.46 , 962.00 , 238.40 , 2.18 , 253.76
2024-11-04 21:51:25.039 , 991.00 , 244.36 , 1.21 , 252.50 , 970.00 , 240.39 , 2.15 , 253.77
2024-11-04 21:51:25.039 , 998.00 , 245.26 , 1.15 , 251.65 , 992.00 , 245.65 , 2.11 , 253.58
2024-11-04 21:51:25.039 , 1033.00 , 254.29 , 1.15 , 252.07 , 989.00 , 246.09 , 2.15 , 254.79
2024-11-04 21:51:25.039 , 1017.00 , 250.32 , 1.14 , 252.04 , 1004.00 , 246.35 , 2.10 , 251.25
2024-11-04 21:51:25.039 , 963.00 , 237.32 , 1.23 , 252.35 , 946.00 , 234.40 , 2.21 , 253.73
2024-11-04 21:51:25.039 , 997.00 , 244.36 , 1.21 , 250.98 , 970.00 , 240.39 , 2.17 , 253.78
2024-11-04 21:51:25.039 , 1003.00 , 246.35 , 1.17 , 251.50 , 975.00 , 241.64 , 2.17 , 253.78
2024-11-04 21:51:25.039 , 869.00 , 213.55 , 1.18 , 251.64 , 1106.00 , 272.29 , 2.77 , 252.10
2024-11-04 21:51:25.039 , 1001.00 , 246.35 , 1.14 , 252.01 , 984.00 , 243.66 , 2.18 , 253.56
2024-11-04 21:51:25.039 , 961.00 , 236.42 , 1.20 , 251.92 , 952.00 , 235.29 , 2.22 , 253.08
2024-11-04 21:51:25.039 , 973.00 , 239.30 , 1.18 , 251.85 , 933.00 , 231.14 , 2.26 , 253.69
2024-11-04 21:51:25.039 , 970.00 , 238.41 , 1.14 , 251.68 , 958.00 , 237.39 , 2.22 , 253.75
2024-11-04 21:51:25.039 , 980.00 , 240.93 , 1.13 , 251.75 , 955.00 , 236.64 , 2.18 , 253.74
2024-11-04 21:51:25.039 , 946.00 , 233.35 , 1.16 , 252.59 , 950.00 , 235.39 , 2.23 , 253.73
2024-11-04 21:51:25.039 , 1009.00 , 248.33 , 1.17 , 252.02 , 997.00 , 244.27 , 2.12 , 250.88
2024-11-04 21:51:25.039 , 974.00 , 240.14 , 1.20 , 252.47 , 947.00 , 234.48 , 2.22 , 253.55
2024-11-04 21:51:25.039 , 949.00 , 233.60 , 1.21 , 252.06 , 950.00 , 235.39 , 2.20 , 253.73
2024-11-04 21:51:25.039 , 952.00 , 233.66 , 1.20 , 251.33 , 927.00 , 228.68 , 2.21 , 252.60
2024-11-04 21:51:25.039 , 1003.00 , 247.26 , 1.21 , 252.43 , 953.00 , 237.20 , 2.18 , 254.88
2024-11-04 21:51:25.039 , 1026.00 , 252.30 , 1.18 , 251.81 , 1018.00 , 252.40 , 2.08 , 253.89
2024-11-04 21:51:25.039 , 1017.00 , 250.32 , 1.14 , 252.04 , 1019.00 , 247.54 , 2.12 , 248.75
2024-11-04 21:51:25.039 , 1023.00 , 251.21 , 1.13 , 251.46 , 991.00 , 245.64 , 2.15 , 253.82
2024-11-04 21:51:25.039 , 976.00 , 240.39 , 1.12 , 252.22 , 986.00 , 244.39 , 2.15 , 253.81
2024-11-04 21:51:25.039 , 1001.00 , 246.29 , 1.13 , 251.95 , 926.00 , 229.38 , 2.24 , 253.65
2024-11-04 21:51:25.039 , 921.00 , 226.50 , 1.19 , 251.83 , 943.00 , 233.65 , 2.25 , 253.72
2024-11-04 21:51:25.039 , 1007.00 , 247.25 , 1.15 , 251.42 , 971.00 , 238.25 , 2.17 , 251.25
2024-11-04 21:51:25.039 , 943.00 , 232.45 , 1.14 , 252.42 , 935.00 , 231.64 , 2.24 , 253.69
2024-11-04 21:51:25.039 , 937.00 , 230.47 , 1.13 , 251.87 , 946.00 , 234.39 , 2.23 , 253.72
2024-11-04 21:51:25.039 , 997.00 , 245.00 , 1.17 , 251.64 , 944.00 , 234.95 , 2.23 , 254.86
2024-11-04 21:51:25.039 , 978.00 , 240.65 , 1.19 , 251.97 , 950.00 , 235.40 , 2.19 , 253.74
2024-11-04 21:51:25.039 , 845.00 , 207.26 , 1.48 , 251.16 , 1079.00 , 262.76 , 2.67 , 249.36
2024-11-04 21:51:25.039 , 948.00 , 233.35 , 1.52 , 252.05 , 917.00 , 227.37 , 2.12 , 253.90
2024-11-04 21:51:25.039 , 960.00 , 236.42 , 1.38 , 252.18 , 936.00 , 231.41 , 2.12 , 253.17
2024-11-04 21:51:25.039 , 918.00 , 226.49 , 1.31 , 252.65 , 932.00 , 231.46 , 2.20 , 254.31
2024-11-04 21:51:25.039 , 991.00 , 243.27 , 1.20 , 251.38 , 944.00 , 234.14 , 2.17 , 253.99
2024-11-04 21:51:25.039 , 969.00 , 238.41 , 1.20 , 251.94 , 946.00 , 230.50 , 2.20 , 249.50
2024-11-04 21:51:25.039 , 860.00 , 212.00 , 1.34 , 252.43 , 847.00 , 209.64 , 2.23 , 253.45
2024-11-04 21:51:25.039 , 948.00 , 233.35 , 1.21 , 252.05 , 944.00 , 234.95 , 2.21 , 254.86
2024-11-04 21:51:25.039 , 977.00 , 240.39 , 1.20 , 251.96 , 958.00 , 237.39 , 2.17 , 253.75
2024-11-04 21:51:25.039 , 956.00 , 235.33 , 1.15 , 252.07 , 946.00 , 234.40 , 2.18 , 253.73
